ticker,start_equity,end_equity,num_years,total_plpc,avg_plpc,avg_vol
MTLS,100000.0,168469.1001,9.0,68.4691,7.6077,8588.0098
NIM,100000.0,86287.4332,16.0,-13.7126,-0.8570,2497.4918
SNTI,100000.0,123758.2785,2.0,23.7583,11.8791,53739.7291
GWRS,100000.0,100568.8802,7.0,0.5689,0.0813,1848.8292
FWONK,100000.0,111781.7884,9.0,11.7818,1.3091,62064.3149
TERN,100000.0,114225.9037,3.0,14.2259,4.7420,18056.7121
CNTB,100000.0,98352.2500,2.0,-1.6478,-0.8239,16131.7475
LVO,100000.0,142783.7581,6.0,42.7838,7.1306,25856.0665
GWAV,100000.0,151723.7199,8.0,51.7237,6.4655,2263.9395
CGC,100000.0,93449.4096,5.0,-6.5506,-1.3101,39612.5893
NGVT,100000.0,72259.3930,7.0,-27.7406,-3.9629,16766.4290
BCLI,100000.0,134877.0620,16.0,34.8771,2.1798,18320.0384
MMC,100000.0,128793.8958,19.0,28.7939,1.5155,160002.6417
GECC,100000.0,125930.6107,7.0,25.9306,3.7044,1272.4047
GOF,100000.0,100326.2346,16.0,0.3262,0.0204,11655.9883
SBIGW,100000.0,97551.5270,2.0,-2.4485,-1.2242,8878.7090
CVGW,100000.0,107795.0526,16.0,7.7951,0.4872,6323.6795
LPSN,100000.0,232586.6929,17.0,132.5867,7.7992,31006.8762
ORA,100000.0,139088.6348,16.0,39.0886,2.4430,13828.0194
NAAS,100000.0,126918.8588,6.0,26.9189,4.4865,14264.5547
EPD,100000.0,131736.0080,16.0,31.7360,1.9835,219675.8468
PTIXW,100000.0,99552.7856,2.0,-0.4472,-0.2236,5374.6580
CBRE,100000.0,106869.7347,7.0,6.8697,0.9814,95579.1204
TGI,100000.0,147807.2841,16.0,47.8073,2.9880,41666.3578
CYTH,100000.0,142120.3145,13.0,42.1203,3.2400,9444.0085
BEKE,100000.0,64664.8158,3.0,-35.3352,-11.7784,312594.5717
BMY,100000.0,191189.8286,19.0,91.1898,4.7995,517659.3176
ZH,100000.0,53557.2833,2.0,-46.4427,-23.2214,139370.2560
HAYN,100000.0,140426.0180,16.0,40.4260,2.5266,5258.9182
DHF,100000.0,106503.2902,16.0,6.5033,0.4065,27075.8360
GOODO,100000.0,110847.8687,2.0,10.8479,5.4239,1474.8135
EAR,100000.0,93317.7080,3.0,-6.6823,-2.2274,5080.0975
SMRT,100000.0,90053.8424,2.0,-9.9462,-4.9731,71314.0076
CHRS,100000.0,129906.1131,9.0,29.9061,3.3229,60367.8324
HSIC,100000.0,88651.5231,19.0,-11.3485,-0.5973,83396.9402
BHVN,100000.0,189228.7720,6.0,89.2288,14.8715,41430.5885
EDBLW,100000.0,99931.6385,1.0,-0.0684,-0.0684,4448.4808
MESO,100000.0,126337.9074,15.0,26.3379,1.7559,6031.0052
ISDR,100000.0,135871.6854,15.0,35.8717,2.3914,1694.5980
CMA,100000.0,74259.7660,20.0,-25.7402,-1.2870,126956.3968
HOVNP,100000.0,152759.5065,16.0,52.7595,3.2975,2417.7611
HTLD,100000.0,105466.0602,16.0,5.4661,0.3416,31182.6869
SD,100000.0,112764.9288,7.0,12.7649,1.8236,26680.6006
ARC,100000.0,148265.8472,16.0,48.2658,3.0166,15091.8251
DBGI,100000.0,91407.1147,2.0,-8.5929,-4.2964,472165.5149
COR,100000.0,210386.5726,19.0,110.3866,5.8098,142884.4740
DLNG,100000.0,85534.9511,10.0,-14.4650,-1.4465,8989.7201
UPBD,100000.0,84106.6347,16.0,-15.8934,-0.9933,54155.3346
PEN,100000.0,215187.4005,8.0,115.1874,14.3984,16858.4305
VST,100000.0,112590.3462,6.0,12.5903,2.0984,243391.8091
APP,100000.0,113657.7870,2.0,13.6578,6.8289,113300.5093
MDXH,100000.0,93675.1696,2.0,-6.3248,-3.1624,7185.6389
CLPT,100000.0,83962.3884,4.0,-16.0376,-4.0094,9324.9121
BR,100000.0,166946.2309,16.0,66.9462,4.1841,45199.2394
SOFI,100000.0,100587.7625,2.0,0.5878,0.2939,1186636.4124
ACU,100000.0,61715.9624,16.0,-38.2840,-2.3928,1099.1769
ARL,100000.0,117113.7250,16.0,17.1137,1.0696,1367.6540
CPIX,100000.0,104270.9380,14.0,4.2709,0.3051,10317.8058
SCCO,100000.0,172228.6131,14.0,72.2286,5.1592,86296.8151
GDV,100000.0,140629.8358,16.0,40.6298,2.5394,13955.1322
GSBC,100000.0,194080.0023,16.0,94.0800,5.8800,2057.2624
UBCP,100000.0,89654.1788,16.0,-10.3458,-0.6466,899.4879
SLRC,100000.0,99971.4836,14.0,-0.0285,-0.0020,12396.7603
CVLG,100000.0,217562.8750,16.0,117.5629,7.3477,6358.6078
PGR,100000.0,96779.2597,16.0,-3.2207,-0.2013,227953.1235
BFI,100000.0,101593.2439,5.0,1.5932,0.3186,10004.2222
GLLIR,100000.0,100127.0020,2.0,0.1270,0.0635,15413.3229
KYCH,100000.0,99993.5000,1.0,-0.0065,-0.0065,16960.6172
SLGCW,100000.0,100594.2415,2.0,0.5942,0.2971,4798.3962
XXII,100000.0,106145.8534,13.0,6.1459,0.4728,8749.4069
MDXG,100000.0,165688.0154,15.0,65.6880,4.3792,58626.0554
LSXMA,100000.0,90205.9936,7.0,-9.7940,-1.3991,37530.6533
SURGW,100000.0,102179.2523,2.0,2.1793,1.0896,5331.8991
LMT,100000.0,123145.5655,19.0,23.1456,1.2182,100698.8312
STBX,100000.0,112446.1123,1.0,12.4461,12.4461,36500.0077
UCBIO,100000.0,99337.5075,3.0,-0.6625,-0.2208,1539.0074
CAMP,100000.0,215160.3309,16.0,115.1603,7.1975,160.0404
OKTA,100000.0,129578.5591,6.0,29.5786,4.9298,79978.8390
SBRA,100000.0,167744.4444,13.0,67.7444,5.2111,71115.1488
IDT,100000.0,215042.3733,12.0,115.0424,9.5869,8952.8494
VIR,100000.0,156044.7412,4.0,56.0447,14.0112,52215.3942
ORN,100000.0,84484.1015,14.0,-15.5159,-1.1083,12014.9331
